company_id,material_id,fulfill_site,order_date,order_qty
B,B_MT000033,B_DC1,2020-07-01 00:00:00,73.08
B,B_MT000033,B_DC1,2020-07-03 00:00:00,176.56
B,B_MT000033,B_DC1,2020-07-06 00:00:00,249.86
B,B_MT000033,B_DC1,2020-07-07 00:00:00,72.06
B,B_MT000033,B_DC1,2020-07-08 00:00:00,89.25
B,B_MT000033,B_DC1,2020-07-09 00:00:00,77.8
B,B_MT000033,B_DC1,2020-07-10 00:00:00,84.16
B,B_MT000033,B_DC1,2020-07-12 00:00:00,135.38
B,B_MT000033,B_DC1,2020-07-14 00:00:00,133.28
B,B_MT000033,B_DC1,2020-07-15 00:00:00,74.02
B,B_MT000033,B_DC1,2020-07-18 00:00:00,225.53
B,B_MT000033,B_DC1,2020-07-19 00:00:00,95.88
B,B_MT000033,B_DC1,2020-07-20 00:00:00,88.85
B,B_MT000033,B_DC1,2020-07-21 00:00:00,84.41
B,B_MT000033,B_DC1,2020-07-22 00:00:00,69.79
B,B_MT000033,B_DC1,2020-07-23 00:00:00,81.54
B,B_MT000033,B_DC1,2020-07-24 00:00:00,84.96
B,B_MT000033,B_DC1,2020-07-26 00:00:00,163.51
B,B_MT000033,B_DC1,2020-07-27 00:00:00,76.77
B,B_MT000033,B_DC1,2020-07-29 00:00:00,144.09
B,B_MT000033,B_DC1,2020-07-31 00:00:00,158.07
B,B_MT000033,B_DC1,2020-08-01 00:00:00,80.99
B,B_MT000033,B_DC1,2020-08-02 00:00:00,88.44
B,B_MT000033,B_DC1,2020-08-04 00:00:00,148.04
B,B_MT000033,B_DC1,2020-08-08 00:00:00,333.48
B,B_MT000033,B_DC1,2020-08-09 00:00:00,72.81
B,B_MT000033,B_DC1,2020-08-11 00:00:00,149.91
B,B_MT000033,B_DC1,2020-08-12 00:00:00,76.45
B,B_MT000033,B_DC1,2020-08-17 00:00:00,379.44
B,B_MT000033,B_DC1,2020-08-18 00:00:00,83.78
B,B_MT000033,B_DC1,2020-08-20 00:00:00,165.51
B,B_MT000033,B_DC1,2020-08-21 00:00:00,82.19
B,B_MT000033,B_DC1,2020-08-22 00:00:00,83.62
B,B_MT000033,B_DC1,2020-08-24 00:00:00,162.7
B,B_MT000033,B_DC1,2020-08-29 00:00:00,418.66
B,B_MT000033,B_DC1,2020-08-30 00:00:00,88.6
